#,Clubs,Points
1,PS Barito Putera,7
2,Dewa United FC,7
3,PSIS Semarang,6
4,Persita Tangerang,6
5,Rans Nusantara FC,6
6,Persija Jakarta,5
7,Persik Kediri,4
8,Persis Solo,4
9,Borneo FC Samarinda,4
10,Madura United FC,4
11,PSM Makassar,4
12,Persebaya Surabaya,4
13,PSS Sleman,4
14,Persib Bandung,3
15,Bali United FC,3
16,Persikabo 1973,1
17,Arema FC,1
18,Bhayangkara FC,0
