#,Clubs,Points
1,Madura United FC,13
2,Persija Jakarta,11
3,Dewa United FC,11
4,PS Barito Putera,10
5,Bali United FC,10
6,Persita Tangerang,10
7,Borneo FC Samarinda,9
8,Rans Nusantara FC,9
9,PSM Makassar,8
10,Persikabo 1973,8
11,PSIS Semarang,8
12,Persib Bandung,7
13,Persik Kediri,7
14,Persis Solo,6
15,PSS Sleman,6
16,Persebaya Surabaya,5
17,Bhayangkara FC,4
18,Arema FC,2
