week,	day,	month,	year,	home,			hscore,	hmatch,	hpoint,	htotal,	away,			ascore,	amatch,	apoint,	atotal,	stadium, city
10,	27,	8,	2023,	Bali United FC,		2,	6,	3,	17,	PS Barito Putera,	1,	5,	0,	17,	Kapten I Wayan Dipta, Gianyar
10,	28,	8,	2023,	Arema FC,		1,	5,	3,	6,	Persikabo 1973,		0,	5,	0,	8,	Kapten I Wayan Dipta, Gianyar
10,	28,	8,	2023,	PSM Makassar,		1,	4,	3,	14,	Persis Solo,		0,	5,	0,	12,	Gelora B. J. Habibie, Pare-pare
11,	1,	9,	2023,	Persita Tangerang,	1,	6,	0,	10,	Madura United FC,	3,	6,	3,	23,	Indomilk Arena, Tangerang
11,	1,	9,	2023,	Bhayangkara FC,		0,	6,	0,	5,	Arema FC,		2,	6,	3,	9,	Patriot Chandra Bhaga, Bekasi
11,	2,	9,	2023,	Persija Jakarta,	1,	6,	1,	14,	Persib Bandung,		1,	6,	1,	15,	Patriot Chandra Bhaga, Bekasi
11,	2,	9,	2023,	Rans Nusantara FC,	1,	6,	3,	19,	Persik Kediri,		0,	6,	0,	12,	Maguwoharjo, Sleman
11,	2,	9,	2023,	PSIS Semarang,		2,	6,	3,	18,	Bali United FC,		1,	5,	0,	17,	Jatidiri, Semarang
11,	3,	9,	2023,	Persikabo 1973,		1,	6,	1,	9,	Dewa United FC,		1,	6,	1,	16,	Wibawa Mukti, Bekasi
11,	3,	9,	2023,	Persebaya Surabaya,	2,	6,	3,	18,	Borneo FC Samarinda,	1,	6,	0,	19,	Gelora Bung Tomo, Surabaya
11,	3,	9,	2023,	PS Barito Putera,	2,	6,	3,	20,	Persis Solo,		0,	6,	0,	12,	Demang Lehman, Martapura
11,	3,	9,	2023,	PSS Sleman,		1,	6,	1,	17,	PSM Makassar,		1,	7,	1,	15,	Maguwoharjo, Sleman
12,	15,	9,	2023,	PSM Makassar,		2,	5,	3,	18,	PS Barito Putera,	0,	6,	0,	20,	Gelora B. J. Habibie, Pare-pare
12,	15,	9,	2023,	Dewa United FC,		2,	6,	1,	17,	Bhayangkara FC,		2,	6,	1,	6,	Indomilk Arena, Tangerang
12,	15,	9,	2023,	Bali United FC,		1,	7,	0,	17,	Rans Nusantara FC,	2,	6,	3,	22,	Kapten I Wayan Dipta, Gianyar
12,	16,	9,	2023,	Arema FC,		0,	6,	1,	10,	Persita Tangerang,	0,	6,	1,	11,	Kapten I Wayan Dipta, Gianyar
12,	16,	9,	2023,	Persib Bandung,		2,	6,	3,	18,	Persikabo 1973,		0,	6,	0,	9,	Gelora Bandung Lautan Api, Bandung
12,	16,	9,	2023,	Persis Solo,		2,	6,	3,	15,	PSIS Semarang,		0,	6,	0,	18,	Manahan, Solo
12,	17,	9,	2023,	Madura United FC,	3,	6,	3,	26,	Persebaya Surabaya,	0,	6,	0,	18,	Gelora Bangkalan, Bangkalan
12,	17,	9,	2023,	Persik Kediri,		1,	6,	0,	12,	Persija Jakarta,	2,	6,	3,	17,	Brawijaya, Kediri
12,	17,	9,	2023,	Borneo FC Samarinda,	1,	6,	3,	22,	PSS Sleman,		0,	6,	0,	17,	Segiri, Samarinda
13,	22,	9,	2023,	Rans Nusantara FC,	1,	7,	0,	22,	Persis Solo,		2,	7,	3,	18,	Maguwoharjo, Sleman
13,	22,	9,	2023,	Persita Tangerang,	1,	7,	3,	14,	Dewa United FC,		0,	7,	0,	17,	Indomilk Arena, Tangerang
13,	22,	9,	2023,	PSIS Semarang,		1,	7,	3,	21,	PS Barito Putera,	0,	7,	0,	20,	Jatidiri, Semarang
13,	23,	9,	2023,	Persikabo 1973,		2,	7,	0,	9,	Persik Kediri,		3,	7,	3,	15,	Wibawa Mukti, Bekasi
13,	23,	9,	2023,	Persebaya Surabaya,	3,	7,	3,	21,	Arema FC,		1,	7,	0,	10,	Gelora Bung Tomo, Surabaya
13,	23,	9,	2023,	Bhayangkara FC,		1,	7,	0,	6,	Persib Bandung,		2,	7,	3,	21,	Patriot Chandra Bhaga, Bekasi
13,	24,	9,	2023,	PSS Sleman,		1,	7,	1,	18,	Madura United FC,	1,	7,	1,	27,	Maguwoharjo, Sleman
13,	24,	9,	2023,	Persija Jakarta,	1,	7,	1,	18,	Bali United FC,		1,	6,	1,	18,	Patriot Chandra Bhaga, Bekasi
13,	25,	9,	2023,	Borneo FC Samarinda,	1,	7,	3,	25,	PSM Makassar,		0,	8,	0,	18,	Segiri, Samarinda
14,	29,	9,	2023,	PS Barito Putera,	1,	7,	1,	21,	Rans Nusantara FC,	1,	7,	1,	23,	Demang Lehman, Martapura
14,	29,	9,	2023,	Bali United FC,		2,	8,	3,	21,	Persikabo 1973,		0,	7,	0,	9,	Kapten I Wayan Dipta, Gianyar
14,	30,	9,	2023,	PSIS Semarang,		2,	8,	3,	24,	PSM Makassar,		1,	9,	0,	18,	Jatidiri, Semarang
14,	30,	9,	2023,	Dewa United FC,		1,	7,	1,	18,	Persebaya Surabaya,	1,	7,	1,	22,	Indomilk Arena, Tangerang
14,	30,	9,	2023,	Arema FC,		2,	7,	3,	13,	PSS Sleman,		1,	7,	0,	18,	Kapten I Wayan Dipta, Gianyar
14,	30,	9,	2023,	Persik Kediri,		2,	7,	3,	18,	Bhayangkara FC,		0,	7,	0,	6,	Brawijaya, Kediri
14,	30,	9,	2023,	Persis Solo,		2,	7,	1,	19,	Persija Jakarta,	2,	7,	1,	19,	Manahan, Solo
14,	1,	10,	2023,	Madura United FC,	1,	7,	0,	27,	Borneo FC Samarinda,	2,	7,	3,	28,	Gelora Madura Ratu Pamelingan, Pamekasan
14,	1,	10,	2023,	Persib Bandung,		5,	7,	3,	24,	Persita Tangerang,	0,	7,	0,	14,	Gelora Bandung Lautan Api, Bandung
15,	6,	10,	2023,	Rans Nusantara FC,	2,	8,	3,	26,	PSIS Semarang,		1,	7,	0,	24,	Maguwoharjo, Sleman
15,	6,	10,	2023,	Persikabo 1973,		2,	8,	1,	10,	Persis Solo,		2,	8,	1,	20,	Wibawa Mukti, Bekasi
15,	6,	10,	2023,	Arema FC,		0,	8,	0,	13,	Borneo FC Samarinda,	1,	8,	3,	31,	Kapten I Wayan Dipta, Gianyar
15,	6,	10,	2023,	Dewa United FC,		3,	8,	3,	21,	PSS Sleman,		1,	8,	0,	18,	Indomilk Arena, Tangerang
15,	7,	10,	2023,	Persebaya Surabaya,	2,	8,	0,	22,	Persib Bandung,		3,	8,	3,	27,	Gelora Bung Tomo, Surabaya
15,	7,	10,	2023,	Persija Jakarta,	1,	8,	1,	20,	PS Barito Putera,	1,	8,	1,	22,	Patriot Chandra Bhaga, Bekasi
15,	8,	10,	2023,	PSM Makassar,		0,	6,	0,	18,	Madura United FC,	2,	8,	3,	30,	Gelora B. J. Habibie, Pare-pare
15,	8,	10,	2023,	Persita Tangerang,	2,	8,	1,	15,	Persik Kediri,		2,	8,	1,	19,	Indomilk Arena, Tangerang
15,	8,	10,	2023,	Bhayangkara FC,		1,	8,	0,	6,	Bali United FC,		2,	7,	3,	24,	Patriot Chandra Bhaga, Bekasi
16,	20,	10,	2023,	Bali United FC,		3,	9,	3,	27,	Persebaya Surabaya,	1,	8,	0,	22,	Kapten I Wayan Dipta, Gianyar
16,	20,	10,	2023,	Persikabo 1973,		2,	9,	0,	10,	PSIS Semarang,		3,	8,	3,	27,	Wibawa Mukti, Bekasi
16,	20,	10,	2023,	PSM Makassar,		3,	7,	3,	21,	Arema FC,		0,	8,	0,	13,	Gelora B. J. Habibie, Pare-pare
16,	21,	10,	2023,	Bhayangkara FC,		1,	9,	1,	7,	PS Barito Putera,	1,	9,	1,	23,	Patriot Chandra Bhaga, Bekasi
16,	21,	10,	2023,	PSS Sleman,		2,	8,	1,	19,	Persik Kediri,		2,	9,	1,	20,	Maguwoharjo, Sleman
16,	21,	10,	2023,	Borneo FC Samarinda,	1,	8,	1,	32,	Persib Bandung,		1,	9,	1,	28,	Segiri, Samarinda
16,	22,	10,	2023,	Persita Tangerang,	2,	9,	3,	18,	Persis Solo,		1,	9,	0,	20,	Indomilk Arena, Tangerang
16,	22,	10,	2023,	Madura United FC,	1,	8,	0,	30,	Dewa United FC,		4,	8,	3,	24,	Gelora Madura Ratu Pamelingan, Pamekasan
16,	21,	10,	2023,	Persija Jakarta,	1,	9,	0,	20,	Rans Nusantara FC,	2,	8,	3,	29,	Gelora Bung Karno, Jakarta Pusat
17,	27,	10,	2023,	Persik Kediri,		4,	8,	3,	23,	Persebaya Surabaya,	0,	9,	0,	22,	Brawijaya, Kediri
17,	27,	10,	2023,	PS Barito Putera,	1,	8,	1,	24,	Persikabo 1973,		1,	8,	1,	11,	Demang Lehman, Martapura
17,	28,	10,	2023,	Arema FC,		1,	9,	1,	14,	Madura United FC,	1,	9,	1,	31,	Kapten I Wayan Dipta, Gianyar
17,	28,	10,	2023,	Persib Bandung,		4,	8,	3,	31,	PSS Sleman,		1,	9,	0,	19,	Gelora Bandung Lautan Api, Bandung
17,	28,	10,	2023,	Borneo FC Samarinda,	3,	9,	3,	35,	Dewa United FC,		1,	9,	0,	24,	Segiri, Samarinda
17,	29,	10,	2023,	Persis Solo,		2,	8,	3,	23,	Bhayangkara FC,		1,	8,	0,	7,	Maguwoharjo, Sleman
17,	29,	10,	2023,	PSIS Semarang,		2,	9,	3,	30,	Persija Jakarta,	1,	8,	0,	20,	Jatidiri, Semarang
17,	30,	10,	2023,	Rans Nusantara FC,	1,	9,	1,	30,	PSM Makassar,		1,	10,	1,	22,	Maguwoharjo, Sleman
17,	30,	10,	2023,	Bali United FC,		3,	10,	3,	30,	Persita Tangerang,	0,	8,	0,	18,	Kapten I Wayan Dipta, Gianyar
18,	1,	11,	2023,	Madura United FC,	0,	9,	0,	31,	Persib Bandung,		1,	10,	3,	34,	Gelora Bangkalan, Bangkalan
18,	2,	11,	2023,	Arema FC,		2,	10,	3,	17,	Dewa United FC,		1,	10,	0,	24,	Kapten I Wayan Dipta, Gianyar
18,	2,	11,	2023,	Borneo FC Samarinda,	3,	10,	3,	38,	Persik Kediri,		0,	10,	0,	23,	Segiri, Samarinda
18,	2,	11,	2023,	Bhayangkara FC,		1,	10,	1,	8,	PSIS Semarang,		1,	9,	1,	31,	Patriot Chandra Bhaga, Bekasi
18,	3,	11,	2023,	PSS Sleman,		0,	9,	0,	19,	Bali United FC,		1,	8,	3,	33,	Maguwoharjo, Sleman
18,	3,	11,	2023,	PSM Makassar,		2,	8,	0,	22,	Persija Jakarta,	3,	9,	3,	23,	Gelora B. J. Habibie, Pare-pare
